FID,X,Y,MODIS LSAT (Reference),L8 LSAT Estimates
66,34.20746,-0.28667,25.9610672,22.7610672
67,34.30231,-0.136,20.5531559,19.2531559
68,34.39716,-0.28705,30.6280708,27.0280454
69,34.49201,-0.33787,13.4792519,12.4792519
70,34.58686,-0.32962,17.3820229,18.620229
71,34.68171,-0.51776,20.697389,25.98292
72,34.77656,-0.2749733,24.6757389,20.099722
73,34.6883,-0.136,25.8262291,28.672397
74,34.8431,-0.28705,28.042753,27.782982
75,34.6333,-0.33787,20.7712193,20.49827
76,34.1963,-0.32962,12.0684681,11.0684681
77,34.445,-0.51776,30.1888885,25.1587151
78,34.5773,-0.2749733,24.7814922,24.2214922
79,34.6762,-0.2664918,27.9735985,25.7815781
80,34.76276,-0.1754863,25.6154175,27.6154175
81,34.67268,-0.14808,19.8738117,22.9871896
82,34.23748,-0.1934752,22.8110428,21.887287
83,34.3367,-0.1246985,24.3831978,25.7876385
84,34.22563,-0.2559218,23.2139473,21.6527897
85,34.7635,-0.128549,21.3614979,20.121889
86,34.45276,-0.2816316,30.2175312,26.2872862
87,34.345289,-0.1504083,22.3694763,25.9862453
88,34.81456,-0.219185,21.0827217,22.7652746
89,34.3365,-0.2879617,24.7136602,22.7136602
90,34.34562,-0.23567384,26.6833458,28.78627572
91,34.52675,-0.26409568,20.1811638,19.8968926
92,34.5672,-0.27234,18.3718758,19.6757247
93,34.67734,-0.28058,25.3698616,27.9872681
94,34.452745,-0.28667,21.28727,21.7891798
95,34.34366,-0.136,25.6752752,22.2849062
96,34.452567,-0.28705,20.4146805,24.7881581
97,34.6834,-0.33787,23.4221497,20.8827872
98,34.675372,-0.32962,20.6123867,20.49827
99,34.34627,-0.51776,15.7556686,16.5642622
100,34.22376,-0.2749733,27.352726,24.7652742
101,34.16782,-0.2664918,28.5919514,27.644722
102,34.56993,-0.1754863,19.7508106,20.992828
103,34.45237,-0.14808,24.3428097,25.1587151
104,34.4543,-0.1934752,10.4241199,11.224119
105,34.675628,-0.1246985,13.31205408,11.5408688
106,34.782678,-0.2559218,22.8923988,18.1923988
107,34.8776235,-0.128549,25.1595917,23.225917
108,34.4377,-0.2816316,0.381546,0.2338153
109,34.56543,-0.1504083,14.6934929,12.6934929
110,34.6274,-0.219185,24.2780361,24.2780361
111,34.73321,-0.2879617,21.1544456,22.1544456
112,34.2806,-0.23567384,25.2988873,26.12089
113,34.2291,-0.26409568,29.6113853,27.613542
114,34.1776,-0.27234,24.289875,23.557345
115,34.11261,-0.28058,6.92223622,7.175222
116,34.20746,-0.28667,25.9610672,22.7610672
117,34.30231,-0.136,20.5531559,19.2531559
118,34.39716,-0.28705,30.6280708,30.0280454
119,34.49201,-0.33787,13.4792519,12.4792519
120,34.58686,-0.32962,17.3820229,18.620229
121,34.68171,-0.51776,20.697389,25.98292
122,34.77656,-0.2749733,24.6757389,20.099722
123,34.6883,-0.136,25.8262291,28.672397
124,34.8431,-0.28705,28.042753,27.782982
125,34.52675,-0.26409568,30.1811638,27.8968926
126,34.5672,-0.27234,28.3718758,28.6757247
127,34.67734,-0.28058,31.3698616,27.9872681
128,34.452745,-0.28667,27.2672768,32.7891798
129,34.34366,-0.136,25.6752752,31.2849062
130,34.452567,-0.28705,30.4146805,33.7881581
131,34.6834,-0.33787,28.4221497,27.8827872
132,34.675372,-0.32962,30.6123867,26.6123867
133,34.34627,-0.51776,26.7556686,26.5642622
134,34.22376,-0.2749733,27.352726,31.7652742
135,34.16782,-0.2664918,29.5919514,28.2264722
136,34.56993,-0.1754863,29.7508106,30.1392828
137,34.45237,-0.14808,29.3428097,29.3428097
138,34.4543,-0.1934752,27.4241199,26.4241199
139,34.675628,-0.1246985,31.3125408,31.4554086
140,34.782678,-0.2559218,32.8923988,29.1923988
141,34.8776235,-0.128549,26.1595917,26.225917
142,34.4377,-0.2816316,26.381546,30.2338153
143,34.56543,-0.1504083,27.434929,29.534929
144,34.6274,-0.219185,26.2780361,25.2780361
145,34.73321,-0.2879617,34.1544456,31.1544456
146,34.2806,-0.23567384,29.2988873,26.2988873
147,34.2291,-0.26409568,29.6113853,27.613542
148,34.1776,-0.27234,34.289875,33.557345
149,34.11261,-0.28058,31.9223622,27.175222
150,34.20746,-0.28667,29.9610672,28.7610672
151,34.30231,-0.136,27.5531559,29.2531559
152,34.39716,-0.28705,30.6280708,30.0280454
153,34.49201,-0.33787,33.4792519,32.4792519
154,34.58686,-0.32962,37.3820229,36.620229
155,34.68171,-0.51776,30.697389,33.98292
156,34.77656,-0.2749733,34.6757389,32.099722
157,34.6883,-0.136,29.8262291,28.672397
158,34.8431,-0.28705,32.192482,33.782982
159,34.6333,-0.33787,30.7712193,31.716781
160,34.1963,-0.32962,34.0684681,32.0684681
161,34.445,-0.51776,30.1888885,28.7987151
162,34.5773,-0.2749733,28.7814922,29.2214922
163,34.6762,-0.2664918,37.9735985,35.7815781
164,34.76276,-0.1754863,35.6154175,37.6154175
165,34.67268,-0.14808,29.8738117,32.9871896
166,34.23748,-0.1934752,32.8110428,31.6735573
167,34.3367,-0.1246985,34.3831978,29.7876385
168,34.22563,-0.2559218,32.2139473,31.6527897
169,34.7635,-0.128549,31.3614979,33.3614979
170,34.45276,-0.2816316,30.2175312,26.2872862
171,34.345289,-0.1504083,27.3694763,27.9862453
172,34.81456,-0.219185,32.0827217,31.7652746
173,34.3365,-0.2879617,29.7136602,31.7136602
174,34.34562,-0.23567384,26.6833458,28.7867572
175,34.52675,-0.26409568,27.1811638,27.8968926
176,34.5672,-0.27234,28.3718758,28.6757247
177,34.67734,-0.28058,28.3698616,27.9872681
178,34.452745,-0.28667,29.2672768,31.7891798
179,34.34366,-0.136,35.6752752,32.2849062
180,34.452567,-0.28705,28.4146805,27.7881581
181,34.6834,-0.33787,28.4221497,29.8827872
182,34.675372,-0.32962,27.6123867,26.6123867
183,34.34627,-0.51776,28.7556686,26.5642622
184,34.22376,-0.2749733,27.352726,29.7652742
185,34.16782,-0.2664918,32.5919514,31.2264722
186,34.56993,-0.1754863,29.7508106,30.3992828
187,34.45237,-0.14808,29.3428097,10.3428097
188,34.4543,-0.1934752,29.4241199,23.4241199
189,34.675628,-0.1246985,33.3125408,31.5408688
190,34.782678,-0.2559218,29.8923988,31.192988
191,34.8776235,-0.128549,35.1595917,35.225917
192,34.4377,-0.2816316,35.4381546,35.2338153
193,34.56543,-0.1504083,34.6934929,34.9034929
194,34.6274,-0.219185,36.2780361,35.2780361
195,34.73321,-0.2879617,34.1544456,35.1544456
196,34.2806,-0.23567384,35.2988873,35.2988873
197,34.2291,-0.26409568,34.6113853,34.613542
198,34.1776,-0.27234,34.289875,33.557345
199,34.11261,-0.28058,36.9223622,37.317522
200,34.20746,-0.28667,35.9610672,35.7610672
201,34.30231,-0.136,35.233159,35.2531559
202,34.39716,-0.28705,30.6280708,30.0280454
203,34.49201,-0.33787,36.4792519,37.1792519
204,34.58686,-0.32962,27.3820229,28.620229
205,34.68171,-0.51776,30.697389,27.9856292
206,34.77656,-0.2749733,28.6757389,27.099722
207,34.6883,-0.136,29.8262291,28.672397
208,34.8431,-0.28705,32.192482,27.782982
209,34.6333,-0.33787,32.7712193,31.716781
210,34.1963,-0.32962,35.0684681,32.0684681
211,34.445,-0.51776,30.1803885,28.7987151
212,34.5773,-0.2749733,28.7814922,28.2214922
213,34.6762,-0.2664918,27.9735985,29.7815781
214,34.76276,-0.1754863,26.6154175,27.6154175
215,34.67268,-0.14808,32.8738117,29.9871896
216,34.23748,-0.1934752,31.8110428,32.6735573
217,34.3367,-0.1246985,24.3831978,25.7876385
218,34.22563,-0.2559218,33.2139473,31.6527897
219,34.7635,-0.128549,31.3614979,28.3614979
220,34.45276,-0.2816316,30.2175312,29.2872862
221,34.345289,-0.1504083,27.3694763,28.9862453
222,34.81456,-0.219185,28.0827217,29.7652746
223,34.3365,-0.2879617,34.7136602,32.7136602
224,34.34562,-0.23567384,26.6833458,28.7867572
225,34.52675,-0.26409568,32.1811638,27.8968926
226,34.5672,-0.27234,27.3718758,28.6757247
227,34.67734,-0.28058,29.3698616,27.9872681
228,34.452745,-0.28667,27.2672768,28.7891798
229,34.34366,-0.136,28.6752752,27.2849062
230,34.452567,-0.28705,31.4146805,29.7881581
231,34.6834,-0.33787,29.4221497,30.8827872
232,34.675372,-0.32962,32.6123867,28.6123867
233,34.34627,-0.51776,29.7556686,27.5642622
234,34.22376,-0.2749733,27.3524726,29.7652742
235,34.16782,-0.2664918,27.5919514,28.2264722
236,34.56993,-0.1754863,29.7508106,28.992828
237,34.45237,-0.14808,29.3428097,28.342097
238,34.4543,-0.1934752,28.4241199,26.424199
239,34.675628,-0.1246985,34.3120548,31.540888
240,34.782678,-0.2559218,28.8923988,28.192398
241,34.8776235,-0.128549,25.1595917,26.225917
242,34.4377,-0.2816316,27.3891546,30.238153
243,34.56543,-0.1504083,29.6934929,28.364929
244,34.6274,-0.219185,34.267803,34.278061
245,34.73321,-0.2879617,34.154456,31.154456
246,34.2806,-0.23567384,27.298873,25.259873
247,34.2291,-0.26409568,29.6113853,27.613542
248,34.1776,-0.27234,34.289875,33.557345
249,34.11261,-0.28058,26.923622,27.173522
250,34.20746,-0.28667,28.9610672,27.761672
